,col1,col2,col3,col4,col5,col6,col7,col8
0,FD09,J elly Boobs,17049065,24,1.66,20.00%,31.87,5
1,FDOI,Penis Pasta* (ZERO VAT),19021910,24,1.99,20.00%,38.21,2
2,FD213,Cola J elly Willies,17049065,24,1.66,20.00%,31.87,5
3,FD235,Cola J elly Boobs,17049065,24,1.66,20.00%,31.87,5
4,FD124,Candy Nipple Tassels,17049081,24,2.08,20.00%,39.94,5
5,HP2161D,Rainbow Cock Pops,17049071,60,1.66,20.00%,79.68,5
6,HP2809,Chocolate Body Pen,17049099,12,2.08,20.00%,19.97,5
7,FD298,After Sex Mints 30g,21069092,12,1.04,20.00%,9.98,5
8,HH60,Glow In The Dark Love Rings,95030095,12,1.25,20.00%,12.0,5
9,FD59,Succulent Willie Lollipop,17049071,96,0.83,20.00%,63.74,5
10,FD40,Candy Cuffs,17049081,24,1.25,20.00%,24.0,5
11,FD35,Lovers Candy Posing Pouch,17049081,12,2.5,20.00%,24.0,5
12,HP3213,Rainbow Peckermints,21069098,12,1.25,20.00%,12.0,5
